Symbol,Yahoo_Ticker,Base_Currency,Latest_Price,Value_in_INR
NIFTY 50,^NSEI,INR,,
NIFTY NEXT 50,^NSMIDCP,USD,,
NIFTY BANK,^NSEBANK,INR,,
INDIA VIX,^INDIAVIX,INR,,
NIFTY 100,^CNX100,INR,,
NIFTY 500,^CRSLDX,INR,,
NIFTY MIDCAP 100,^CRSMID,USD,,
NIFTY MIDCAP 50,^NSEMDCP50,INR,,
NIFTY INFRA,^CNXINFRA,INR,,
NIFTY REALTY,^CNXREALTY,INR,,
NIFTY ENERGY,^CNXENERGY,INR,,
NIFTY FMCG,^CNXFMCG,INR,,
NIFTY MNC,^CNXMNC,INR,,
NIFTY PHARMA,^CNXPHARMA,INR,,
NIFTY PSE,^CNXPSE,INR,,
NIFTY PSU BANK,^CNXPSUBANK,INR,,
NIFTY SERV SECTOR,^CNXSERVICE,INR,,
NIFTY IT,^CNXIT,INR,,
NIFTY SMLCAP 100,^CNXSMALLCAP,INR,,
NIFTY 200,^CNX200,INR,,
NIFTY AUTO,^CNXAUTO,INR,,
NIFTY MEDIA,^CNXMEDIA,INR,,
NIFTY METAL,^CNXMETAL,INR,,
NIFTY DIV OPPS 50,^CNXDIVOP,INR,,
NIFTY COMMODITIES,^CNXCMDT,INR,,
NIFTY CONSUMPTION,^CNXCONSUM,INR,,
NIFTY FIN SERVICE,^CNXFIN,INR,,
NIFTY GROWSECT 15,^CNXGROW,INR,,
NIFTY PVT BANK,^NIFTYPVT,USD,,
BSE SENSEX,^BSESN,INR,,
BSE BANKEX,^BSEBANK,INR,,
S&P 500,^GSPC,USD,,
NASDAQ 100,^NDX,USD,,
DOW JONES,^DJI,USD,,
CBOE VIX,^VIX,USD,,
Gold,GC=F,USD,,
Silver,SI=F,USD,,
Crude Oil (WTI),CL=F,USD,,
Brent Crude Oil,BZ=F,USD,,
Copper,HG=F,USD,,
Natural Gas,NG=F,USD,,
USD to INR,INR=X,INR,,
